dataset,percentile,value
at87,1,3641.927001953125
at87,2,4374.90478515625
at87,3,4781.87255859375
at87,4,5035.970703125
at87,5,5227.9267578125
at87,6,5611.509765625
at87,7,5937.80126953125
at87,8,6104.51806640625
at87,9,6370.05517578125
at87,10,6613.22802734375
at87,11,6834.53173828125
at87,12,7094.962890625
at87,13,7121.93798828125
at87,14,7205.3662109375
at87,15,7427.1640625
at87,16,7630.64794921875
at87,17,7885.0029296875
at87,18,8008.06884765625
at87,19,8139.35791015625
at87,20,8190.07080078125
at87,21,8393.712890625
at87,22,8561.150390625
at87,23,8648.0673828125
at87,24,8781.576171875
at87,25,8902.4228515625
at87,26,9145.5791015625
at87,27,9156.77734375
at87,28,9309.390625
at87,29,9360.26171875
at87,30,9507.6103515625
at87,31,9665.4873046875
at87,32,9767.2294921875
at87,33,9928.0556640625
at87,34,10044.6689453125
at87,35,10146.5869140625
at87,36,10174.197265625
at87,37,10275.939453125
at87,38,10431.6533203125
at87,39,10573.3359375
at87,40,10682.9072265625
at87,41,10791.3662109375
at87,42,10920.09375
at87,43,11151.078125
at87,44,11191.6171875
at87,45,11191.6171875
at87,46,11366.9052734375
at87,47,11454.4462890625
at87,48,11510.7900390625
at87,49,11700.3271484375
at87,50,11748.1513671875
at87,51,11921.8896484375
at87,52,12056.423828125
at87,53,12209.0361328125
at87,54,12230.2138671875
at87,55,12335.55859375
at87,56,12463.3916015625
at87,57,12629.26171875
at87,58,12751.5478515625
at87,59,12922.966796875
at87,60,12949.638671875
at87,61,13151.796875
at87,62,13226.4560546875
at87,63,13309.3515625
at87,64,13510.3740234375
at87,65,13669.0634765625
at87,66,13735.166015625
at87,67,13887.779296875
at87,68,14097.7802734375
at87,69,14243.8759765625
at87,70,14388.4873046875
at87,71,14538.3369140625
at87,72,14685.1884765625
at87,73,14803.45703125
at87,74,15107.912109375
at87,75,15261.2958984375
at87,76,15288.130859375
at87,77,15557.908203125
at87,78,15827.3369140625
at87,79,15915.3515625
at87,80,16187.048828125
at87,81,16380.1416015625
at87,82,16546.76171875
at87,83,16787.42578125
at87,84,17041.779296875
at87,85,17296.134765625
at87,86,17625.896484375
at87,87,17985.609375
at87,88,18313.5546875
at87,89,18705.033203125
at87,90,19076.619140625
at87,91,19419.69921875
at87,92,19839.68359375
at87,93,20441.783203125
at87,94,21060.587890625
at87,95,21874.5234375
at87,96,23109.962890625
at87,97,24115.208984375
at87,98,25606.470703125
at87,99,30013.880859375
at94,1,1690.0146484375
at94,2,3573.40576171875
at94,3,4663.89794921875
at94,4,5626.525390625
at94,5,6293.4677734375
at94,6,6864.05908203125
at94,7,7263.74755859375
at94,8,7528.90576171875
at94,9,7806.30712890625
at94,10,8067.83056640625
at94,11,8326.5703125
at94,12,8546.3251953125
at94,13,8776.9775390625
at94,14,9018.4990234375
at94,15,9306.2685546875
at94,16,9603.83203125
at94,17,9868.9716796875
at94,18,10044.548828125
at94,19,10195.271484375
at94,20,10524.916015625
at94,21,10724.5625
at94,22,10849.1826171875
at94,23,11017.919921875
at94,24,11191.6171875
at94,25,11384.490234375
at94,26,11547.7138671875
at94,27,11781.3515625
at94,28,11969.578125
at94,29,12140.080078125
at94,30,12332.9892578125
at94,31,12453.87109375
at94,32,12620.9462890625
at94,33,12758.87890625
at94,34,12920.029296875
at94,35,13052.7685546875
at94,36,13168.3427734375
at94,37,13371.0166015625
at94,38,13531.3525390625
at94,39,13735.166015625
at94,40,13866.66796875
at94,41,14004.1279296875
at94,42,14187.19140625
at94,43,14402.59375
at94,44,14532.373046875
at94,45,14681.7294921875
at94,46,14851.0576171875
at94,47,15046.248046875
at94,48,15182.806640625
at94,49,15307.224609375
at94,50,15503.5947265625
at94,51,15767.361328125
at94,52,15921.88671875
at94,53,16036.7705078125
at94,54,16215.1064453125
at94,55,16365.9794921875
at94,56,16562.939453125
at94,57,16806.46484375
at94,58,16968.755859375
at94,59,17254.41796875
at94,60,17452.091796875
at94,61,17683.759765625
at94,62,17954.673828125
at94,63,18078.107421875
at94,64,18373.275390625
at94,65,18580.736328125
at94,66,18801.236328125
at94,67,19099.80859375
at94,68,19412.056640625
at94,69,19779.01953125
at94,70,20115.603515625
at94,71,20329.5
at94,72,20508.794921875
at94,73,20794.5625
at94,74,21034.001953125
at94,75,21346.24609375
at94,76,21607.5234375
at94,77,21921.439453125
at94,78,22222.234375
at94,79,22460.23046875
at94,80,22789.6171875
at94,81,23158.4765625
at94,82,23540.6953125
at94,83,24027.900390625
at94,84,24583.7578125
at94,85,25056.21484375
at94,86,25435.4921875
at94,87,26256.677734375
at94,88,27037.78125
at94,89,27541.625
at94,90,28132.76171875
at94,91,28778.673828125
at94,92,29722.466796875
at94,93,30863.3046875
at94,94,32431.271484375
at94,95,33382.265625
at94,96,34464.484375
at94,97,37422.3984375
at94,98,43525.7421875
at94,99,54008.92578125
at95,1,825.0095825195313
at95,2,1953.44580078125
at95,3,2672.147705078125
at95,4,3268.241943359375
at95,5,3892.330322265625
at95,6,4407.9130859375
at95,7,4999.89111328125
at95,8,5486.79931640625
at95,9,5960.04443359375
at95,10,6395.20947265625
at95,11,6811.625
at95,12,7193.1572265625
at95,13,7295.91650390625
at95,14,7595.7646484375
at95,15,7805.80712890625
at95,16,8021.845703125
at95,17,8220.7509765625
at95,18,8428.5693359375
at95,19,8631.5341796875
at95,20,8869.8544921875
at95,21,9004.52734375
at95,22,9229.5986328125
at95,23,9351.1044921875
at95,24,9532.5087890625
at95,25,9736.70703125
at95,26,9915.7236328125
at95,27,10106.34765625
at95,28,10275.939453125
at95,29,10347.158203125
at95,30,10448.2001953125
at95,31,10623.0205078125
at95,32,10845.6943359375
at95,33,11045.1083984375
at95,34,11182.1416015625
at95,35,11369.3017578125
at95,36,11527.365234375
at95,37,11671.2578125
at95,38,11824.4521484375
at95,39,11971.220703125
at95,40,12181.2939453125
at95,41,12412.759765625
at95,42,12575.3076171875
at95,43,12664.505859375
at95,44,12843.92578125
at95,45,13081.1103515625
at95,46,13238.4873046875
at95,47,13413.6611328125
at95,48,13582.552734375
at95,49,13665.4658203125
at95,50,13893.02734375
at95,51,14065.8271484375
at95,52,14269.3115234375
at95,53,14489.2060546875
at95,54,14671.1923828125
at95,55,14778.021484375
at95,56,14964.02734375
at95,57,15135.712890625
at95,58,15338.1279296875
at95,59,15510.7890625
at95,60,15719.134765625
at95,61,15843.2373046875
at95,62,16110.1142578125
at95,63,16320.990234375
at95,64,16521.06640625
at95,65,16755.201171875
at95,66,16929.86328125
at95,67,17182.845703125
at95,68,17458.921875
at95,69,17774.953125
at95,70,17987.98046875
at95,71,18167.67578125
at95,72,18500.12890625
at95,73,18741.00390625
at95,74,19046.09765625
at95,75,19266.185546875
at95,76,19548.921875
at95,77,19895.642578125
at95,78,20104.212890625
at95,79,20439.962890625
at95,80,20784.578125
at95,81,21099.998046875
at95,82,21341.00390625
at95,83,21749.837890625
at95,84,22147.9921875
at95,85,22500.236328125
at95,86,22954.529296875
at95,87,23451.5234375
at95,88,23856.111328125
at95,89,24466.400390625
at95,90,25013.263671875
at95,91,25652.087890625
at95,92,26287.765625
at95,93,27046.59375
at95,94,27958.740234375
at95,95,29020.87890625
at95,96,30244.599609375
at95,97,32028.775390625
at95,98,34685.65625
at95,99,39430.1015625
at97,1,2583.519287109375
at97,2,4178.68798828125
at97,3,5337.35302734375
at97,4,6110.296875
at97,5,6615.98974609375
at97,6,6876.47412109375
at97,7,7485.15673828125
at97,8,7935.87353515625
at97,9,8139.35791015625
at97,10,8352.00390625
at97,11,8604.8916015625
at97,12,8967.8671875
at97,13,9210.845703125
at97,14,9418.3994140625
at97,15,9738.16015625
at97,16,9961.4833984375
at97,17,10200.4091796875
at97,18,10447.0693359375
at97,19,10622.17578125
at97,20,10749.693359375
at97,21,10977.8154296875
at97,22,11118.9443359375
at97,23,11282.4580078125
at97,24,11447.134765625
at97,25,11609.4853515625
at97,26,11757.8017578125
at97,27,11921.787109375
at97,28,12107.294921875
at97,29,12263.5595703125
at97,30,12441.5625
at97,31,12576.4384765625
at97,32,12754.0830078125
at97,33,12863.2216796875
at97,34,13078.107421875
at97,35,13231.9423828125
at97,36,13400.798828125
at97,37,13613.716796875
at97,38,13812.9482421875
at97,39,14048.09765625
at97,40,14257.1025390625
at97,41,14453.46484375
at97,42,14567.875
at97,43,14776.931640625
at97,44,14969.62890625
at97,45,15113.40625
at97,46,15256.626953125
at97,47,15351.2548828125
at97,48,15544.7333984375
at97,49,15763.66796875
at97,50,15855.9052734375
at97,51,16133.3701171875
at97,52,16284.6845703125
at97,53,16448.78125
at97,54,16704.0703125
at97,55,17000.9609375
at97,56,17134.32421875
at97,57,17285.234375
at97,58,17435.20703125
at97,59,17651.591796875
at97,60,17817.203125
at97,61,17968.939453125
at97,62,18238.62890625
at97,63,18444.365234375
at97,64,18624.091796875
at97,65,18810.51953125
at97,66,19013.357421875
at97,67,19254.673828125
at97,68,19443.728515625
at97,69,19851.185546875
at97,70,20143.8828125
at97,71,20382.7890625
at97,72,20668.4375
at97,73,20914.693359375
at97,74,21124.6015625
at97,75,21371.94140625
at97,76,21716.375
at97,77,22173.171875
at97,78,22547.873046875
at97,79,22844.380859375
at97,80,23108.939453125
at97,81,23556.75390625
at97,82,23911.3984375
at97,83,24594.03515625
at97,84,24936.876953125
at97,85,25546.41015625
at97,86,26016.080078125
at97,87,26244.337890625
at97,88,26847.671875
at97,89,27593.876953125
at97,90,28228.978515625
at97,91,28693.830078125
at97,92,29528.521484375
at97,93,30277.48828125
at97,94,31564.90234375
at97,95,32399.72265625
at97,96,34686.53125
at97,97,37892.90625
at97,98,41217.87890625
at97,99,48286.70703125
at00,1,3332.630859375
at00,2,4930.9150390625
at00,3,6278.93310546875
at00,4,7122.30126953125
at00,5,7877.41748046875
at00,6,8197.49609375
at00,7,8518.8486328125
at00,8,8861.2529296875
at00,9,9260.3359375
at00,10,9510.4033203125
at00,11,9813.7197265625
at00,12,10014.31640625
at00,13,10341.51953125
at00,14,10663.7216796875
at00,15,10791.3662109375
at00,16,11024.4697265625
at00,17,11184.05859375
at00,18,11504.796875
at00,19,11710.181640625
at00,20,11875.0322265625
at00,21,12072.0478515625
at00,22,12255.9072265625
at00,23,12578.6611328125
at00,24,12745.2890625
at00,25,13056.98828125
at00,26,13204.654296875
at00,27,13341.1337890625
at00,28,13537.1005859375
at00,29,13648.833984375
at00,30,13751.2841796875
at00,31,13973.3154296875
at00,32,14097.7802734375
at00,33,14231.0419921875
at00,34,14373.2490234375
at00,35,14605.0595703125
at00,36,14773.89453125
at00,37,14905.19921875
at00,38,15199.3818359375
at00,39,15493.8486328125
