"Country","Our.World.In.Data.Name"
"Albania","Albania"
"Algeria","Algeria"
"Angola","Angola"
"Argentina_U","Argentina (Urban)"
"Armenia","Armenia"
"Australia","Australia"
"Austria","Austria"
"Azerbaijan","Azerbaijan"
"Bangladesh","Bangladesh"
"Belarus","Belarus"
"Belgium","Belgium"
"Belize","Belize"
"Benin","Benin"
"Bhutan","Bhutan"
"Bolivia","Bolivia"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Botswana","Botswana"
"Brazil","Brazil"
"Bulgaria","Bulgaria"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cabo Verde","Cape Verde"
"Cameroon","Cameroon"
"Canada","Canada"
"Central African Republic","Central African Republic"
"Chad","Chad"
"Chile","Chile"
"China","China"
"Colombia","Colombia"
"Comoros","Comoros"
"Congo, Democratic Republic of","Democratic Republic of Congo"
"Congo, Republic of","Congo"
"Costa Rica","Costa Rica"
"Cote d'Ivoire","Cote d'Ivoire"
"Croatia","Croatia"
"Cyprus","Cyprus"
"Czech Republic","Czechia"
"Denmark","Denmark"
"Djibouti","Djibouti"
"Dominican Republic","Dominican Republic"
"Ecuador","Ecuador"
"Egypt, Arab Republic of","Egypt"
"El Salvador","El Salvador"
"Estonia","Estonia"
"Eswatini","Eswatini"
"Ethiopia","Ethiopia"
"Fiji","Fiji"
"Finland","Finland"
"France","France"
"Gabon","Gabon"
"Gambia, The","Gambia"
"Georgia","Georgia"
"Germany","Germany"
"Ghana","Ghana"
"Greece","Greece"
"Guatemala","Guatemala"
"Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Guyana","Guyana"
"Haiti","Haiti"
"Honduras","Honduras"
"Hungary","Hungary"
"Iceland","Iceland"
"India","India"
"Indonesia","Indonesia"
"Iran, Islamic Republic of","Iran"
"Iraq","Iraq"
"Ireland","Ireland"
"Israel","Israel"
"Italy","Italy"
"Jamaica","Jamaica"
"Japan","Japan"
"Jordan","Jordan"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kiribati","Kiribati"
"Korea, Republic of","South Korea"
"Kosovo","Kosovo"
"Kyrgyz Republic","Kyrgyzstan"
"Lao People's Democratic Republic","Laos"
"Latvia","Latvia"
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Malaysia"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malta"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mexico","Mexico"
"Micronesia, Federated States of","Micronesia (country)"
"Moldova","Moldova"
"Mongolia","Mongolia"
"Montenegro","Montenegro"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Myanmar","Myanmar"
"Namibia","Namibia"
"Nauru","Nauru"
"Nepal","Nepal"
"Netherlands","Netherlands"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"North Macedonia","North Macedonia"
"Norway","Norway"
"Pakistan","Pakistan"
"Panama","Panama"
"Papua New Guinea","Papua New Guinea"
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
"Poland","Poland"
"Portugal","Portugal"
"Romania","Romania"
"Russian Federation","Russia"
"Rwanda","Rwanda"
"Samoa","Samoa"
"Sao Tome and Principe","Sao Tome and Principe"
"Senegal","Senegal"
"Serbia","Serbia"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Slovak Republic","Slovakia"
"Slovenia","Slovenia"
"Solomon Islands","Solomon Islands"
"Somalia","Somalia"
"South Africa","South Africa"
"South Sudan","South Sudan"
"Spain","Spain"
"Sri Lanka","Sri Lanka"
"St. Lucia","Saint Lucia"
"Sudan","Sudan"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Syrian Arab Republic","Syria"
"Taiwan, China","Taiwan"
"Tajikistan","Tajikistan"
"Tanzania","Tanzania"
"Thailand","Thailand"
"Timor-Leste","Timor"
"Togo","Togo"
"Tonga","Tonga"
"Trinidad and Tobago","Trinidad and Tobago"
"Tunisia","Tunisia"
"Turkey","Turkey"
"Turkmenistan","Turkmenistan"
"Tuvalu","Tuvalu"
"Uganda","Uganda"
"Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates"
"United Kingdom","United Kingdom"
"United States","United States"
"Uruguay","Uruguay"
"Uzbekistan","Uzbekistan"
"Vanuatu","Vanuatu"
"Venezuela, Republica Bolivariana de","Venezuela"
"Vietnam","Vietnam"
"West Bank and Gaza","Palestine"
"Yemen, Republic of","Yemen"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
