"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","31.9824591381405","","","","39.8575370165269","41.4646957639131","41.9100126677081","43.4368134807205","44.792853676488","46.5808177864629","49.2995946727919","52.0384610435027","54.0541059764705","56.8733302847083","60.4626514942459","62.4950376641989","64.5106825971666","66.4459695926078","67.6881693768789","69.2317114268756","72.0314565915752","74.1085587734806","76.5654403862613","79.3649524114212","81.3721948111763","84.1370484876733","87.1727337163218","91.8735825241023","100.101768678965","97.9641667608969","100","104.316297421952","104.970852972298","102.480875854163","102.91277219904","103.401364578457","102.438495220917","101.385138831048","105.061405952227","109.534355432857","","","","","",
"Africa Eastern and Southern","AFE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5233948093158","71.5821433759539","76.4387030058668","83.0740187275294","105.021064735005","97.8679108385313","100","111.804185808913","119.005731346616","127.795223073732","133.768366733582","132.883209191418","138.708665508891","145.610741438593","146.522481857209","149.895975208032","158.292979728016","166.418480358434","189.23795275112","180.44840108089","168.536667139799",
"Africa Western and Central","AFW","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22008150730772E-08","4.08014979721418E-08","1.63005984545567E-07","2.41008848315838E-06","2.5300928889588E-05","0.000699937697271513","0.0297130970585906","0.0948372889505528","0.19658330514343","0.684495013337208","2.90908239295018","7.34720823610931","15.3481296293837","30.4236985252629","43.6708178150299","53.6948050312199","60.8390116952927","68.2927016592819","76.8127824283574","87.3593955494136","100","113.482467921851","125.146088077866","136.131179284704","146.042056377604","159.705710507375","208.726444198045","271.019765885988","324.2180676186","379.597607073274","464.139837113465","583.675779438661","708.32143556848","804.965533144132","1032.29178341066",
"Albania","ALB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.11455176106246","16.6737160138813","30.8471668337309","37.807846284174","40.75429436957","45.9404730556661","61.1836480648907","73.8137021846446","74.1011605344394","74.1382245539502","76.442135324008","82.3820911976625","82.7808226707298","84.6682412961938","86.6719846178477","88.7267419018594","91.3288155181303","94.3617275795417","96.500834430802","100","103.429123247222","105.530381748189","107.575160377427","109.324187306059","111.397164149808","112.817958876089","115.059269640307","117.392740239274","119.049258384382","120.978911881374","123.448662047404","131.750834819418","138.021863913783","141.078343643036",
"Andorra","AND","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9531235204222","97.605246567666","99.129658167554","100","100.877346595685","101.545425889605","102.663561221631","105.072324180443","109.348732137854","111.117434855702","113.302920986271","116.779772707568","114.524660532343","112.143231100025","112.345016399902","118.28944516653","120.213669474403","122.213261700573",
"Argentina","ARG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
