country_year,gini,wgini,w2,w1,whalf,ede2,ede1,edehalf,a2,a1,ahalf,ge2,ge1,ge0,gem1,p75p50,p25p50,p10p50,p90p50,p75p25,p90p10,p95,p90,p75,p50,p25,p10,p5,max,min,sumw,sd,Var,mean
AE1998,.64997202,57860.305,-.000037356494,11.174265,650.56415,26769.105,71272.422,105808.42,.83805937,.56883496,.35990819,6.1205792,.97760135,.84126437,2.5875509,2.0854852,.52825028,.2655125,5.3138661,3.9479113,20.013622,632378.69,362980.38,142455.64,68308.148,36083.801,18136.666,8590.3184,119651776,955.0849,.95008999,580732.94,337250779136,165301.95
AE2009,.6678679,25238.502,-.000083448409,10.345436,436.2739,11983.452,31114.727,47583.73,.84230089,.59053832,.37381053,4.5166659,.97637123,.89291197,2.6705952,2.3706877,.55254108,.31470406,6.8315115,4.2905183,21.707733,336026.81,183057.69,63525.117,26796.072,14805.932,8432.833,3994.5684,44963552,443.69589,.95008999,229331.63,52592992256,75989.352
AE2013,.60657072,31277.258,-.000084577681,10.518039,466.39035,11823.45,36976.523,54379.988,.85127556,.53488094,.31596687,4.0626841,.80398768,.76546186,2.861923,1.9702238,.47833419,.18063158,4.2986817,4.1189275,23.798063,279963.97,175516.97,80445.063,40830.422,19530.586,7375.2627,3493.6665,45391268,388.38019,.95008999,227546.8,51777548288,79499.055
AE2014,.61072618,32237.727,-.000083033599,10.546499,474.3374,12043.318,38044.008,56248.992,.85457569,.54061478,.32078773,4.6101136,.82371968,.77786613,2.9382155,1.9916502,.47333941,.17846285,4.3317361,4.2076578,24.272482,290360.94,181988.55,83674.891,42012.844,19886.336,7497.7314,3551.7727,52233948,394.63641,.95008999,252503.42,63757979648,82815.047
AE2018,.58333385,37174.055,-.000055431105,10.726019,502.24289,18040.412,45525.082,63061.98,.79779369,.48973116,.29316849,4.2795763,.76071,.67281753,1.9727218,1.6539347,.45355636,.2413758,3.7517459,3.6465912,15.543173,320773.78,190948.48,84178.492,50895.898,23084.16,12285.038,5819.3564,55545364,646.32513,.95008999,262092.33,68692389888,89217.844
AF2008,.50639325,2125.2864,-.00081015308,7.8644605,114.5612,1234.3347,2603.1055,3281.0674,.71332055,.39541772,.23795822,4.3772707,.6625641,.50321746,1.2441082,1.6116263,.6433804,.33518782,2.6664824,2.5049353,7.9551892,11428.086,7069.9707,4273.1016,2651.4221,1705.873,888.72443,420.98022,2230542,46.763958,.95008999,12792.054,163636640,4305.6265
AF2012,.47226408,3150.2905,-.00052933849,8.2535753,137.58049,1889.1504,3841.3357,4732.0981,.68352997,.35650039,.20728004,2.9086909,.55068254,.44083384,1.0799285,1.6401364,.72242945,.35870859,2.5904663,2.2703066,7.2216454,15508.819,9945.6523,6297.0229,3839.3289,2773.6443,1377.2003,652.34729,2454614.8,72.470764,.95008999,14457.227,209011392,5969.4453
AF2017,.49552813,2830.8098,-.00058947474,8.1546593,131.84381,1696.4255,3479.5527,4345.6973,.69768405,.3799172,.22556363,3.3154581,.61064303,.47790223,1.1538988,1.7405553,.71727878,.36998656,2.8173485,2.4266093,7.6147318,15049.915,9450.5908,5838.5664,3354.4275,2406.0596,1241.0931,587.87976,2327123.5,65.333534,.95008999,14509.343,210521024,5611.4321
AL1996,.41785359,5070.1772,-.00035025526,8.7104959,171.72075,2855.0605,6066.248,7372.0044,.67218834,.303487,.15356301,.61637205,.3314116,.36166883,1.0252661,1.6205961,.61443788,.30247292,2.4354708,2.6375263,8.0518637,21702.07,16245.553,10810.017,6670.3955,4098.5435,2017.614,955.72571,911525.69,106.21359,.95008999,9709.8975,94282112,8709.4541
AL2002,.43455848,6088.4702,-.00030806623,8.8919277,189.59489,3246.0554,7273.0244,8986.5557,.69853604,.32454789,.16541071,.69278795,.35919619,.392373,1.1585729,1.6569911,.60119331,.2750822,2.5401993,2.7561703,9.2343283,27687.031,20632.805,13458.935,8122.5146,4883.2012,2234.3591,1058.4053,1235025.8,117.54611,.95008999,12726.907,161974160,10767.639
AL2005,.42530617,7060.1064,-.00026056898,9.0392933,203.2885,3837.7551,8427.8232,10331.553,.6876061,.31397384,.15900989,.64425904,.34330535,.37683952,1.1005434,1.6188475,.6028437,.28089184,2.4465399,2.6853518,8.7098999,31028.41,23198.459,15350.155,9482.1504,5716.2549,2663.4587,1261.6116,1324842.9,140.16261,.95008999,14002.553,196071472,12284.987
AL2008,.42443594,8210.5391,-.00022100996,9.191658,219.11536,4524.6831,9814.9111,12002.885,.6828168,.31196848,.15859008,.67150986,.344585,.37392059,1.0763762,1.6272392,.60620028,.28932732,2.4328671,2.6843259,8.4087009,35781.199,26597.578,17789.965,10932.606,6627.3496,3163.1018,1498.3276,1650973,166.44417,.95008999,16599.938,275557888,14265.205
AL2012,.41970176,8813.292,-.0001988647,9.2658701,226.54517,5028.5444,10571.008,12830.677,.66890287,.30396754,.15518294,.67048383,.33921945,.36235899,1.010131,1.6141814,.61925811,.30907306,2.4411752,2.6066375,7.8983765,38033.25,28251.342,18680.67,11572.845,7166.5776,3576.8542,1694.335,1771833.1,188.18446,.95008999,17659.699,311864960,15187.521
AL2015,.44670162,8698.9111,-.00021407187,9.2533722,227.73254,4671.3281,10439.708,12965.527,.70287794,.33597741,.17532146,.90763825,.39352342,.40943909,1.1828102,1.6655996,.59536308,.2813637,2.6168973,2.7976198,9.3007641,41180.984,30026.793,19111.418,11474.196,6831.313,3228.4224,1529.2014,2463372.3,169.93204,.95008999,21269.836,452405920,15721.917
AL2016,.44684049,8993.2393,-.00020818097,9.2860365,231.62988,4803.5132,10786.352,13413.101,.70454371,.33654904,.17498201,.86538345,.39013061,.41030034,1.1922978,1.6648231,.58589655,.277877,2.6186283,2.8414967,9.4236946,42645.57,31237.215,19859.42,11928.847,6989.0703,3314.7524,1570.1456,2398262.5,174.46117,.95008999,21476.934,461258688,16257.949
AM1996,.57697558,2186.4385,-.00088217022,7.8997674,120.468,1133.568,2696.655,3628.135,.78068125,.4782607,.29804125,8.0476942,.86076719,.65058726,1.7797869,1.8916721,.58759779,.2843239,3.3505542,3.2193317,11.784286,14823.028,9211.9805,5200.9448,2749.3901,1615.5354,781.71735,370.29648,4203799,41.125031,.95008999,20821.395,433530432,5168.5874
AM1999,.53880996,2779.4043,-.00061996834,8.1445484,133.17015,1612.9856,3444.5488,4433.5718,.7323553,.42844173,.26433191,6.198977,.75545877,.55938888,1.3681482,1.7529025,.62145048,.33470634,2.9225087,2.8206632,8.7315607,16536.184,10195.362,6115.1152,3488.5654,2167.9707,1167.6449,553.10706,4158270.5,61.464108,.95008999,21307.576,454012832,6026.5923
AM2002,.51893258,3736.2886,-.00044789017,8.4394979,153.11346,2232.6902,4626.2319,5860.9326,.712529,.40434757,.24537311,4.5229797,.681095,.51809794,1.239306,1.6817998,.65206623,.3504388,2.855804,2.5791855,8.1492233,21638.357,13330.01,7850.1211,4667.6909,3043.6433,1635.7399,774.78528,4330365.5,86.082191,.95008999,23455.732,550171392,7766.6631
AM2003,.51032084,4349.8271,-.00037434755,8.5886374,163.96399,2671.3145,5370.2896,6721.0469,.69927841,.39544293,.24338225,5.4152422,.69863153,.50325918,1.1626674,1.6251807,.65905607,.36174002,2.6207588,2.4659219,7.2448683,22759.41,14374.897,8914.1377,5485.0132,3614.9314,1984.1489,939.90216,5520185.5,104.39461,.95008999,29354.289,861674240,8883.0146
AM2004,.54023898,4575.5415,-.00036416898,8.6450624,170.4537,2745.978,5682.0205,7263.6167,.72407776,.42905739,.27013493,6.5249958,.79253721,.56046659,1.3121047,1.6756563,.65405768,.35504332,2.8471892,2.5619397,8.0192728,26769.674,16181.279,9523.1689,5683.2466,3717.1711,2017.7988,955.83783,6677524.5,106.17956,.95008999,36099.625,1303182848,9951.999
AM2005,.53343689,5294.9956,-.00031031738,8.7909775,182.8055,3222.5071,6574.6587,8354.4629,.71605206,.42068067,.26385504,6.2246394,.77022749,.54590142,1.2608862,1.6556122,.65584379,.3618522,2.7824032,2.5244002,7.6893363,30106.094,18353.801,10921.054,6596.3843,4326.1978,2386.9163,1130.6379,7487700.5,125.57679,.95008999,40208.188,1616698368,11348.937
AM2006,.46496221,6941.5498,-.00023256631,9.0463934,203.71945,4299.8491,8487.874,10375.403,.66857809,.34577531,.20028913,3.0054495,.53069025,.4243044,1.008651,1.5890949,.66650945,.36319023,2.4744132,2.3842046,6.812995,32904.07,21827.633,14017.942,8821.3379,5879.5049,3203.8235,1517.5626,5901763,168.6259,.95008999,31939.561,1020135552,12973.943
AM2007,.47730756,7751.8848,-.000214582,9.159481,216.91693,4660.2231,9504.123,11763.239,.68577147,.35915801,.20683081,2.8382595,.53808159,.44497237,1.0911987,1.6462119,.64988577,.34875891,2.6342313,2.5330789,7.5531588,40042.371,25797.816,16121.847,9793.2998,6364.5259,3415.5005,1617.8859,6611824.5,179.72798,.95008999,35480.469,1258863744,14830.681
AM2008,.46110779,8656.1563,-.00018747711,9.2663593,227.30788,5333.9849,10576.18,12917.218,.66793078,.34157598,.19583383,2.9666007,.51376277,.41790617,1.0057102,1.6017976,.65367532,.36009848,2.4976153,2.4504483,6.9359231,41435.156,27501.285,17637.42,11011.017,7197.6299,3965.0503,1878.1771,7448569.5,208.69624,.95008999,39287.551,1543511680,16062.871
AM2009,.45450979,7336.8901,-.00021899854,9.1002617,208.68961,4566.2407,8957.6367,10887.839,.66050476,.33400899,.19050048,2.8206666,.49641064,.40647912,.97277462,1.6106901,.67386323,.36887419,2.5084214,2.3902328,6.8002086,34355.602,23203.117,14899.023,9250.0869,6233.2935,3412.1184,1616.2747,6186879,179.56898,.95008999,32077.697,1028978688,13450.087
AM2010,.48010051,7155.2715,-.00022652157,9.0790834,207.73193,4414.5903,8769.9209,10788.14,.67923743,.36278066,.21613762,5.004601,.60571027,.45064136,1.0587853,1.6051439,.66302299,.36332068,2.5553901,2.4209473,7.0334291,35518.176,23089.074,14503.181,9035.4395,5990.7046,3282.762,1554.9805,8808184,172.80104,.95008999,43721.363,1911557632,13762.798
AM2011,.46214592,7621.9351,-.00021160937,9.1387863,213.11218,4725.6885,9309.46,11354.201,.66652423,.34306306,.19877258,3.2889833,.53137487,.42016724,.99935925,1.5984582,.66432732,.36364609,2.4711339,2.4061306,6.7954364,35433.984,23938.555,15484.704,9687.2754,6435.5215,3522.7397,1668.7166,6891601,185.38609,.95008999,36495.043,1331888000,14171.01
AM2012,.46145651,8111.6079,-.00019861283,9.1996784,219.59775,5034.9214,9893.9443,12055.793,.66572297,.34312415,.19959533,3.131079,.53495711,.42026025,.99576545,1.568109,.66873783,.36355203,2.4243724,2.3448787,6.668571,37560.586,25024.631,16186.188,10322.106,6902.7827,3752.6228,1777.5671,6867295,197.40373,.95008999,37847.344,1432421504,15062.123
AM2013,.4700909,8361.3604,-.0001947743,9.2321777,223.84195,5134.1475,10220.771,12526.305,.67461854,.35224903,.20613363,4.0300722,.56245244,.43424895,1.036658,1.5955625,.64866602,.35717437,2.5263605,2.4597595,7.0731854,39784.262,26926.893,17006.1,10658.373,6913.7241,3806.8977,1803.3374,8763865,200.40045,.95008999,44981.527,2023337856,15778.858
AM2014,.47986928,8278.791,-.00019882381,9.2240582,223.82803,5029.5786,10138.119,12524.748,.68400723,.36305347,.21310902,3.1756785,.57130945,.45106956,1.0823146,1.5778054,.63534737,.34676704,2.4667869,2.4833744,7.1136713,40624.461,26377.729,16871.715,10693.152,6793.8662,3708.033,1756.4651,7158941,195.1033,.95008999,40278.652,1622369792,15916.751
AM2015,.49319002,8137.9604,-.00020493704,9.2080717,222.99974,4879.5474,9977.3359,12432.222,.69611508,.37863871,.22575514,3.7589772,.61736763,.4758426,1.1453598,1.586594,.6325919,.33969423,2.4574201,2.5080845,7.2342119,40465.117,25830.621,16677.127,10511.276,6649.3481,3570.6199,1691.3369,8013701.5,187.85579,.95008999,44208.672,1954406784,16057.223
AM2016,.49983561,7871.2671,-.00021943064,9.1694717,219.22813,4557.2485,9599.5479,12015.244,.71041852,.39001536,.23651467,9.4942856,.70142496,.49432153,1.2266296,1.639742,.59176457,.31799582,2.5195463,2.7709365,7.9232059,38764.477,25998.59,16920.102,10318.759,6106.2754,3281.322,1554.3149,15592861,172.69205,.95008999,68859.719,4741661184,15737.36
