"Entity","Year","coveragetype","datatype","IsSurveyYear","ISO3DataYearCovType","ISO3Year","Population","headcount_ratio_1_00","poverty_gap_index_1_00","headcount_1_00","income_gap_ratio_1_00","headcount_ratio_1_90","poverty_gap_index_1_90","headcount_1_90","income_gap_ratio_1_90","headcount_ratio_3_20","poverty_gap_index_3_20","headcount_3_20","income_gap_ratio_3_20","headcount_ratio_5_50","poverty_gap_index_5_50","headcount_5_50","income_gap_ratio_5_50","headcount_ratio_10_00","poverty_gap_index_10_00","headcount_10_00","income_gap_ratio_10_00","headcount_ratio_15_00","poverty_gap_index_15_00","headcount_15_00","income_gap_ratio_15_00","headcount_ratio_20_00","poverty_gap_index_20_00","headcount_20_00","income_gap_ratio_20_00","headcount_ratio_30_00","poverty_gap_index_30_00","headcount_30_00","income_gap_ratio_30_00","headcount_ratio_40_00","poverty_gap_index_40_00","headcount_40_00","income_gap_ratio_40_00","headcount_ratio_40_median","poverty_gap_index_40_median","headcount_40_median","income_gap_ratio_40_median","headcount_ratio_50_median","poverty_gap_index_50_median","headcount_50_median","income_gap_ratio_50_median","headcount_ratio_60_median","poverty_gap_index_60_median","headcount_60_median","income_gap_ratio_60_median","total_shortall_daily_1_00","total_shortall_daily_1_90","total_shortall_daily_3_20","total_shortall_daily_5_50","total_shortall_daily_10_00","total_shortall_daily_15_00","total_shortall_daily_20_00","total_shortall_daily_30_00","total_shortall_daily_40_00","total_shortall_daily_40_median","total_shortall_daily_50_median","total_shortall_daily_60_median","avg_shortfall_1_00","avg_shortfall_1_90","avg_shortfall_3_20","avg_shortfall_5_50","avg_shortfall_10_00","avg_shortfall_15_00","avg_shortfall_20_00","avg_shortfall_30_00","avg_shortfall_40_00","headcount_stacked_below_1_00","headcount_stacked_below_1_90","headcount_stacked_below_3_20","headcount_stacked_below_5_50","headcount_stacked_below_10_00","headcount_stacked_below_15_00","headcount_stacked_below_20_00","headcount_stacked_below_30_00","headcount_stacked_above_40_00","headcount_stacked_below_40_00","headcount_ratio_stacked_below_1_00","headcount_ratio_stacked_below_1_90","headcount_ratio_stacked_below_3_20","headcount_ratio_stacked_below_5_50","headcount_ratio_stacked_below_10_00","headcount_ratio_stacked_below_15_00","headcount_ratio_stacked_below_20_00","headcount_ratio_stacked_below_30_00","headcount_ratio_stacked_above_40_00","headcount_ratio_stacked_below_40_00"
"Angola",2000,"N","consumption",TRUE,"AGO:2000:N:c","AGO2000",NA,16.81089,7.193839,2756225,42.5987105018179,36.54118,16.40268,5991099,44.8352505988809,59.80394,29.65158,9805139,49.6058036887658,80.75094,47.35052,13239499,58.6309880478329,93.07418,65.86489,15259952,70.7814399329305,96.9356,75.67262,15893050,78.0554773327629,97.99405,81.14366,16066588,82.8460326797242,99.07813,86.97164,16244328,87.8118510674868,99.48773,90.05612,16311484,90.4720811111073,17.70381,7.537134,2902623,42.3721022197141,23.44387,10.18404,3843733,43.3617362181094,28.83105,12.83532,4726987,44.4370440312757,0.07193839,0.31165092,0.94885056,2.6042786,6.586489,11.350893,16.228732,26.091492,36.022448,0.0780093369,0.1317814776,0.1993325196,0.425987105018179,0.851869761378737,1.58738571804051,3.22470434263081,7.07814399329305,11.7083215999144,16.5692065359448,26.343555320246,36.1888324444429,2756225,3234874,3814040,3434360,2020453,633098,173538,177740,83989,67156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",2008,"N","consumption",TRUE,"AGO:2008:N:c","AGO2008",NA,9.167151,2.460114,1988872,26.6715578744259,33.23631,11.16218,7210828,33.5208568843353,58.59231,25.54858,12711973,43.6129159787183,81.30862,44.81799,17640421,55.0811541080226,94.67539,65.05476,20540426,68.7277652392421,97.90863,75.61575,21241898,77.1992771016994,98.9428,81.32944,21466268,82.1943503882365,99.56957,87.33546,21602249,87.7352421260546,99.84455,90.43297,21661908,90.5756392416305,10.94821,3.015383,2375284,27.3590478732268,17.4764,5.262881,3791616,30.0568773977279,25.25835,7.972639,5479959,31.3832869138465,0.02460114,0.21208142,0.81755456,2.46498945,6.505476,11.3423625,16.265888,26.200638,36.173188,0.03253598257,0.07094363588,0.12899729902,0.266715578744259,0.63689628080237,1.39561331131899,3.02946347594124,6.87277652392421,11.5798915652549,16.4388700776473,26.3205726378164,36.2302556966522,1988872,5221956,5501145,4928448,2900005,701472,224370,135981,33726,59659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",2018,"N","consumption",TRUE,"AGO:2018:N:c","AGO2018",NA,24.0862,8.591704,7420901,35.6322531988188,49.08743,22.32624,15123720,45.4792198596087,71.15392,38.31124,21922353,53.824663885171,88.1972,56.2298,27173347,63.776674351194,96.83179,73.0712,29833644,75.4439148175651,98.61523,81.37618,30383118,82.4881084442231,99.24195,85.76125,30576209,86.4097469249007,99.65298,90.3481,30702846,90.6635825805664,99.77462,92.69023,30740323,92.9213159558968,15.61591,5.264359,4811225,33.4953482566619,22.71894,8.020965,6999651,35.1587105354765,29.15268,11.03472,8981871,37.7816238249059,0.08591704,0.42419856,1.22595968,3.092639,7.30712,12.206427,17.15225,27.10443,37.076092,0.0405355643,0.07724189295,0.1275613632,0.356322531988188,0.864105177332565,1.72238924432547,3.50771708931567,7.54439148175651,12.3732162666335,17.2819493849801,27.1990747741699,37.1685263823587,7420901,7702819,6798633,5250994,2660297,549474,193091,126637,69439,37477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",1996,"N","consumption",TRUE,"ALB:1996:N:c","ALB1996",NA,0.05741581,0.01171479,1819,NA,0.920669,0.1398565,29167,14.3847492568372,11.17415,2.092572,354001,18.5243846823857,44.61842,12.83488,1413526,28.736617671248,86.17521,38.41725,2730059,44.5383885560019,97.97335,56.68982,3103828,57.8884895785101,99.63208,67.26501,3156377,67.5162697498726,99.91247,78.12333,3165260,78.1728126545839,99.95166,83.57753,3166502,83.6296094909379,2.768821,0.4125702,87717,14.1801022518427,7.548123,1.301888,239127,17.1581532277188,14.80251,2.925233,468948,19.636877148114,0.0001171479,0.0026572735,0.066962304,0.7059184,3.841725,8.503473,13.453002,23.436999,33.431012,0.00953037162,0.03759852544,0.10138857578,NA,0.273310235879907,0.592780309836342,1.58051397191864,4.45383885560019,8.68327343677652,13.5032539499745,23.4518437963752,33.4518437963752,1819,27348,324834,1059525,1316533,373769,52549,8883,1531,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2002,"N","consumption",TRUE,"ALB:2002:N:c","ALB2002",NA,0.04637062,0.02481105,1415,37.8673036506942,1.570843,0.2614352,47927,17.5609782380793,14.13212,2.85311,431172,20.3251814695125,49.66964,15.08682,1515426,30.3804020450266,85.3074,40.26021,2602737,47.1674353268904,95.24486,57.2864,2905930,60.0830579346949,98.08006,67.18507,2992432,68.5256576017091,99.62293,77.7869,3039506,78.0653564870932,99.84308,83.28561,3046222,83.4174116637605,3.212283,0.5583791,98007,17.3727373202318,8.406373,1.570295,256479,18.6127517260269,16.02581,3.307857,488949,20.6221713788266,0.0002481105,0.0049672688,0.09129952,0.8297751,4.026021,8.59296,13.437014,23.33607,33.314244,0.012373680856,0.0434971715,0.10998624525,0.378673036506942,0.333658586523507,0.6504058070244,1.67092211247646,4.71674353268904,9.01245869020423,13.7051315203418,23.419606946128,33.3669646655042,1415,46512,383245,1084254,1087311,303193,86502,47074,4788,6716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2005,"N","consumption",TRUE,"ALB:2005:N:c","ALB2005",NA,0.02762022,0.0002232697,832,64.9037429064046,0.8605271,0.131144,25915,20.5222991997066,8.715685,1.75985,262472,20.3689301927572,38.54525,10.60606,1160785,27.4599593514476,79.98713,33.81076,2408802,42.3447479703652,93.6516,51.99835,2820306,55.471448953803,97.5491,63.01889,2937678,64.6059383995571,99.43446,74.9396,2994456,75.3563469461979,99.75174,81.10548,3004011,81.3172111548122,4.095002,0.6912862,123320,17.3473659694543,8.991533,1.827752,270779,20.6665727677145,16.67577,3.663328,502189,21.9621589165933,2.232697e-06,0.002491736,0.0563152,0.5833333,3.381076,7.7997525,12.603778,22.48188,32.442192,0.01786974827,0.05905466712,0.14202722656,0.649037429064046,0.389923684794425,0.65180576616823,1.51029776432962,4.23447479703652,8.32071734307045,12.9211876799114,22.6069040838594,32.5268844619249,832,25083,236557,898313,1248017,411504,117372,56778,7476,9555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2008,"N","consumption",TRUE,"ALB:2008:N:c","ALB2008",NA,0,0,0,70.8598383056153,0.3136496,0.05134164,9244,36.5066027678008,5.289628,0.7527742,155902,15.0551456399075,31.11301,7.403992,916998,23.8275712674253,75.91118,29.45727,2237341,38.8451566395494,92.77016,48.2886,2734228,52.0172861041663,97.09978,60.039,2861835,61.8737375353583,99.01586,72.85185,2918308,73.557180920875,99.67825,79.49017,2937831,79.7846205407954,2.118535,0.3270047,62440,16.6252012744842,7.227714,1.193483,213023,16.9233571038772,14.13715,2.719592,416666,19.4173541990217,0,0.00097549116,0.0240887744,0.40721956,2.945727,7.24329,12.0078,21.855555,31.796068,0.009097270754,0.04149740391,0.11348857416,0.708598383056153,0.693625452588215,0.48176466047704,1.31051641970839,3.88451566395494,7.80259291562495,12.3747475070717,22.0671542762625,31.9138482163182,0,9244,146658,761096,1320343,496887,127607,56473,9483,19523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2012,"N","consumption",TRUE,"ALB:2012:N:c","ALB2012",NA,0.111321,0.01195865,3229,53.0951250013395,0.8497544,0.1691009,24646,23.0846649476376,6.182414,1.272609,179315,20.890774627489,34.52891,8.645555,1001477,25.025688857135,77.06984,31.06276,2235334,40.2576314780365,93.41304,49.73173,2709353,53.2154684054134,97.77263,61.33316,2835798,62.6775615326045,99.6183,73.87135,2889330,74.1289348352669,99.88598,80.34727,2897094,80.4680402942821,3.492413,0.6955059,101294,20.0420427417715,7.753112,1.624326,224871,21.0852045957517,14.84282,3.219497,430501,21.717932969621,0.0001195865,0.0032129171,0.040723488,0.475505525,3.106276,7.4597595,12.266632,22.161405,32.138908,0.01898731107,0.05543824638,0.13183840215,0.530951250013395,0.438608634005114,0.668504788079648,1.37641288714242,4.02576314780365,7.98232026081201,12.5355123065209,22.2386804505801,32.1872161177128,3229,21417,154669,822162,1233857,474019,126445,53532,3307,7764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2014,"N","consumption",TRUE,"ALB:2014:N:c","ALB2014",NA,0,0,0,43.7850668359701,1.580897,0.2119193,45674,16.1044751387685,11.61562,2.546837,335587,22.0059756717872,37.03384,11.7348,1069946,31.6973380621657,71.58569,31.71987,2068185,44.3406277681838,88.50301,48.34408,2556944,54.6632620290828,95.18214,59.36763,2749911,62.401388243586,99.12649,72.1903,2863867,72.8151519651615,99.81976,79.03524,2883897,79.1531521523277,7.509593,1.435746,216960,19.3157684399589,14.37583,3.26309,415333,22.8481612970041,22.21899,5.725531,641930,25.7982737128371,0,0.0040264667,0.081498784,0.645414,3.171987,7.251612,11.873526,21.65709,31.614096,0.03945430008,0.1120871415,0.23606364313,0.437850668359701,0.305985027636602,0.70419122149719,1.74335359341911,4.43406277681838,8.19948930436242,12.4802776487172,21.8445455895484,31.6612608609311,0,45674,289913,734359,998239,488759,192967,113956,5207,20030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2015,"N","consumption",TRUE,"ALB:2015:N:c","ALB2015",NA,0,0,0,44.775640685698,1.126756,0.09927901,32458,14.663627293031,8.204474,1.729274,236347,21.2891752573093,34.26318,9.741262,987020,28.4768666952957,71.85321,30.31753,2069878,42.1472578685556,88.80751,47.4714,2558281,53.4365239115526,95.496,58.79269,2750956,61.6046962664107,99.17554,71.81058,2856953,72.3632889810573,99.89998,78.76776,2877822,78.8919515172366,5.307677,0.9856169,152898,19.0658866004895,11.09367,2.379627,319576,21.5625971651826,19.05017,4.464242,548779,23.5369156249242,0,0.00188630119,0.055336768,0.53576941,3.031753,7.12071,11.758538,21.543174,31.507104,0.02749871151,0.08297759349,0.1868285277,0.44775640685698,0.278608918567589,0.681253608233898,1.56622766824126,4.21472578685556,8.01547858673289,12.3209392532821,21.7089866943172,31.5567806068946,0,32458,203889,750673,1082858,488403,192675,105997,2881,20869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
